TICKER,NAME,CLASSIFICATION,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
BHE,Benchmark Electronics Inc,U.S. Small-cap Value Common Stock,17.98,0.0499,-0.0998,0.1996,0.0,8.57,49.56,0.2211
BIG,Big Lots Inc,U.S. Small-cap Value Common Stock,5.45,0.1549,-0.0643,0.3741,0.0001,6.41,50.92,0.113
BIIB,Biogen Inc,U.S. Large-cap Growth Common Stock,11.75,0.2542,-0.0382,0.5467,0.0,22.85,4187.05,0.1697
BIO,Bio-Rad Laboratories Inc,U.S. Mid-cap Growth Common Stock,51.92,0.0515,-0.1159,0.2181,0.0,13.5,61.58,0.3623
BK,Bank of New York Mellon Corp/The,U.S. Large-cap Blend Common Stock,10.6,0.078,-0.042,0.199,0.0,7.16,27.06,0.4265
BKE,Buckle Inc/The,U.S. Small-cap Blend Common Stock,10.86,-0.0759,-0.2463,0.0941,0.0,2.41,13.65,0.634
BKH,Black Hills Corp,U.S. Small-cap Blend Common Stock,14.92,0.0689,-0.0597,0.1976,0.0003,4.19,24.49,0.0721
BMI,Badger Meter Inc,U.S. Small-cap Growth Common Stock,90.83,-0.0598,-0.2378,0.1187,0.0,10.58,52.76,0.3938
BMY,Bristol-Myers Squibb Co,U.S. Large-cap Blend Common Stock,17.3,0.0198,-0.1872,0.2262,0.0,5.61,32.16,0.1988
BOH,Bank of Hawaii Corp,U.S. Small-cap Blend Common Stock,10.37,0.0872,0.0077,0.1653,0.0,3.48,18.52,0.7674
BOKF,BOK Financial Corp,U.S. Small-cap Blend Common Stock,12.44,0.1153,0.0239,0.2057,0.0,8.22,20.24,0.4341
BOOM,DMC Global Inc,U.S. Small-cap Value Common Stock,20.72,0.1871,-0.4142,0.7858,0.0,3.3,139.3,0.4374
BRC,Brady Corp,U.S. Small-cap Blend Common Stock,18.45,0.0305,-0.0904,0.1506,0.0,7.2,24.54,0.3743
BRK/B,Berkshire Hathaway Inc,U.S. Large-cap Blend Common Stock,33.7,0.0937,0.0161,0.171,0.0,19.16,79.55,0.3434
BRO,Brown & Brown Inc,U.S. Mid-cap Growth Common Stock,43.0,0.1061,-0.1103,0.3231,0.0,13.77,70.79,0.1201
BSX,Boston Scientific Corp,U.S. Large-cap Growth Common Stock,49.47,0.0029,-0.3194,0.325,0.0,5.13,108.4,0.2426
BWA,BorgWarner Inc,U.S. Mid-cap Value Common Stock,10.88,0.1929,0.0276,0.3574,0.0,5.33,30.85,0.5829
BYD,Boyd Gaming Corp,U.S. Mid-cap Blend Common Stock,27.39,0.0805,-0.3855,0.5471,0.0,2.72,238.97,0.1807
CAC,Camden National Corp,U.S. Small-cap Blend Common Stock,9.06,0.0682,-0.0255,0.1611,0.0,5.14,15.07,0.4037
CACC,Credit Acceptance Corp,U.S. Mid-cap Growth Common Stock,18.06,0.2688,0.0622,0.4749,0.0,10.35,41.51,0.1924
CACI,CACI International Inc,U.S. Mid-cap Blend Common Stock,29.64,0.1441,-0.0697,0.3583,0.0,13.08,73.67,0.2876
CADE,Cadence Bank,U.S. Small-cap Blend Common Stock,10.75,0.056,-0.0758,0.1883,0.0,4.68,23.54,0.3385
CAG,Conagra Brands Inc,U.S. Mid-cap Blend Common Stock,12.51,0.0431,-0.0748,0.1611,0.0,4.75,17.61,0.0707
CAH,Cardinal Health Inc,U.S. Mid-cap Value Common Stock,17.34,-0.0218,-0.1433,0.1002,0.0,4.68,27.29,0.6455
CAKE,Cheesecake Factory Inc/The,U.S. Small-cap Value Common Stock,16.99,0.1281,-0.1107,0.3671,0.0,7.14,88.0,0.1467
CAL,Caleres Inc,U.S. Small-cap Value Common Stock,10.77,0.1387,-0.0419,0.321,0.0,2.39,26.05,0.6908
CASH,Pathward Financial Inc,U.S. Small-cap Blend Common Stock,16.85,0.1307,-0.1184,0.3788,0.0,4.74,37.83,0.1386
CASS,Cass Information Systems Inc,U.S. Small-cap Blend Common Stock,17.12,0.1349,0.0312,0.2396,0.0,7.24,33.2,0.7354
CASY,Casey's General Stores Inc,U.S. Mid-cap Value Common Stock,33.6,0.1332,0.0086,0.2577,0.0149,12.4,40.77,0.0144
CAT,Caterpillar Inc,U.S. Large-cap Blend Common Stock,26.41,-0.0488,-0.1739,0.0764,0.0,5.17,23.69,0.5585
CATO,Cato Corp/The,U.S. Small-cap Value Common Stock,6.55,0.1362,-0.0263,0.2998,0.0,4.28,15.23,0.5035
CATY,Cathay General Bancorp,U.S. Small-cap Blend Common Stock,10.82,0.1254,-0.122,0.373,0.0,3.52,27.8,0.3229
CB,Chubb Ltd,U.S. Large-cap Blend Common Stock,19.73,0.045,-0.0169,0.1073,0.0,6.54,20.39,0.6089
CBRL,Cracker Barrel Old Country Store Inc,U.S. Small-cap Value Common Stock,12.16,0.1382,-0.044,0.3197,0.0,4.55,27.3,0.4984
CBSH,Commerce Bancshares Inc/MO,U.S. Mid-cap Growth Common Stock,16.74,0.091,-0.0109,0.1929,0.0194,8.94,25.73,0.0257
CBT,Cabot Corp,U.S. Small-cap Value Common Stock,16.15,0.0106,-0.1239,0.1448,0.0,3.89,21.16,0.4972
CBU,Community Bank System Inc,U.S. Small-cap Growth Common Stock,15.8,0.0921,-0.0279,0.2123,0.0,4.97,23.98,0.0801
CCBG,Capital City Bank Group Inc,U.S. Small-cap Blend Common Stock,19.8,0.0286,-0.2297,0.2866,0.0004,5.06,60.42,0.0685
CCF,Chase Corp,U.S. Small-cap Blend Common Stock,27.48,0.1197,-0.1518,0.3913,0.0,6.89,55.23,0.1039
CCK,Crown Holdings Inc,U.S. Mid-cap Value Common Stock,18.68,0.0828,-0.1846,0.3502,0.0,0.61,49.3,0.2604
CCL,Carnival Corp,U.S. Mid-cap Blend Common Stock,66.11,-0.3191,-0.5172,-0.1206,0.0,5.58,33.05,0.3743
CENT,Central Garden & Pet Co,U.S. Small-cap Value Common Stock,22.21,0.0795,-0.2003,0.3572,0.0,5.22,56.51,0.4011
CFR,Cullen/Frost Bankers Inc,U.S. Mid-cap Growth Common Stock,15.35,0.0763,-0.0053,0.1577,0.0,9.66,22.64,0.2069
CGNX,Cognex Corp,U.S. Mid-cap Growth Common Stock,49.77,0.1109,-0.224,0.4468,0.0061,13.37,138.07,0.0357
CHCO,City Holding Co,U.S. Small-cap Growth Common Stock,17.26,-0.0057,-0.1145,0.1013,0.0,1.98,19.52,0.7252
CHD,Church & Dwight Co Inc,U.S. Mid-cap Growth Common Stock,37.59,0.1446,0.0883,0.2006,0.0,17.29,42.38,0.4285
CHDN,Churchill Downs Inc,U.S. Mid-cap Growth Common Stock,47.67,0.2598,0.0543,0.4648,0.0,15.42,81.32,0.2838
CHE,Chemed Corp,U.S. Mid-cap Growth Common Stock,38.51,0.1565,-0.0249,0.3379,0.0006,11.89,58.42,0.0791
CI,Cigna Group/The,U.S. Large-cap Value Common Stock,19.41,0.0685,-0.1091,0.2478,0.0,4.07,31.7,0.4602
CINF,Cincinnati Financial Corp,U.S. Mid-cap Blend Common Stock,23.84,-0.0163,-0.1585,0.1256,0.0,5.14,21.01,0.3182
CL,Colgate-Palmolive Co,U.S. Large-cap Growth Common Stock,21.65,0.0821,0.0293,0.1342,0.0,14.94,39.29,0.6837
CLF,Cleveland-Cliffs Inc,U.S. Mid-cap Value Common Stock,7.99,0.136,-0.5246,0.7971,0.0,0.33,111.26,0.1098
CLX,Clorox Co/The,U.S. Mid-cap Blend Common Stock,23.26,0.0595,-0.0242,0.1429,0.0,11.82,32.45,0.3653
CMA,Comerica Inc,U.S. Mid-cap Blend Common Stock,8.48,0.0429,-0.151,0.2364,0.0001,2.32,30.76,0.0801
CMC,Commercial Metals Co,U.S. Small-cap Value Common Stock,18.57,0.031,-0.2785,0.3413,0.0,4.93,31.32,0.2073
CMCO,Columbus McKinnon Corp/NY,U.S. Small-cap Blend Common Stock,19.78,0.0563,-0.1455,0.26,0.0,1.22,47.24,0.618
CMI,Cummins Inc,U.S. Large-cap Blend Common Stock,18.51,0.1447,-0.1242,0.4142,0.0,3.8,35.95,0.1707
CMS,CMS Energy Corp,U.S. Mid-cap Blend Common Stock,22.65,0.0503,-0.229,0.3296,0.0173,1.27,25.55,0.024
CMTL,Comtech Telecommunications Corp,U.S. Small-cap Value Common Stock,12.4,0.0871,-0.3319,0.5065,0.0017,4.98,91.09,0.0326
CNMD,CONMED Corp,U.S. Small-cap Growth Common Stock,60.32,0.0357,-0.1506,0.2219,0.0073,8.06,43.55,0.0368
CNOB,ConnectOne Bancorp Inc,U.S. Small-cap Blend Common Stock,9.03,0.1434,-0.0221,0.3081,0.0,6.74,26.17,0.2756
COF,Capital One Financial Corp,U.S. Large-cap Value Common Stock,8.94,0.0914,-0.101,0.2836,0.0,2.05,51.82,0.2616
COHR,Coherent Corp,U.S. Small-cap Blend Common Stock,28.93,0.1808,-0.0295,0.39,0.0,14.17,81.69,0.2873
COLB,Columbia Banking System Inc,U.S. Small-cap Blend Common Stock,8.18,0.1713,-0.0301,0.373,0.0,2.92,40.52,0.2875
COO,Cooper Cos Inc/The,U.S. Mid-cap Growth Common Stock,26.0,0.1756,-0.0843,0.4352,0.0125,7.7,2650.94,0.164
CPB,Campbell Soup Co,U.S. Mid-cap Blend Common Stock,13.3,0.0173,-0.0784,0.1126,0.0,6.66,20.59,0.5459
CPK,Chesapeake Utilities Corp,U.S. Small-cap Growth Common Stock,28.51,0.1675,0.0681,0.2671,0.0011,4.88,33.99,0.0452
CPRT,Copart Inc,U.S. Large-cap Growth Common Stock,68.91,0.1157,-0.0747,0.3051,0.0,23.81,99.47,0.2248
CPT,Camden Property Trust,Real Estate REIT,41.89,0.0965,-0.0449,0.2382,0.0023,7.19,59.65,0.0647
CRD/A,Crawford & Co,U.S. Small-cap Value Common Stock,15.38,-0.098,-0.3265,0.1306,0.0,2.66,13.2,0.1448
CRS,Carpenter Technology Corp,U.S. Small-cap Blend Common Stock,39.14,-0.1968,-0.4205,0.0266,0.0,2.7,30.62,0.5803
CRVL,CorVel Corp,U.S. Small-cap Growth Common Stock,77.58,-0.0464,-0.2137,0.1209,0.0,14.15,57.15,0.2822
CSCO,Cisco Systems Inc,U.S. Large-cap Growth Common Stock,18.53,0.1028,-0.034,0.2401,0.0,9.43,349.25,0.5664
CSGS,CSG Systems International Inc,U.S. Small-cap Blend Common Stock,19.65,0.0302,-0.1299,0.1901,0.0,5.74,24.21,0.1699
CSL,Carlisle Cos Inc,U.S. Mid-cap Blend Common Stock,32.87,0.0363,-0.1123,0.185,0.0,7.6,28.54,0.2365
