TICKER,NAME,INDEX_NAME,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,INDEX_TICKER,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
PSCD,Invesco S&P SmallCap Consumer Discretionary ETF,S&P 600 Consumer Discretionary Sector,12.57,0.228,0.1136,0.341,0.0,S6COND,9.02,30.870000000000005,0.5727
PSCT,Invesco S&P SmallCap Information Technology ETF,S&P 600 Information Technology Sector,33.6,0.0823,-0.0209,0.1855,0.0,S6INFT,16.86,63.84999999999999,0.5684
XOUT,GraniteShares XOUT US Large Cap ETF,S&P 500 Growth,37.31,0.0597,-0.07,0.1888,0.0003,SGX,14.19,53.779999999999994,0.0692
IJR,iShares Core S&P Small-Cap ETF,S&P Small Cap 600,15.08,0.2225,0.155,0.2911,0.0,SML,11.78,31.379999999999995,0.6449
FYX,First Trust Small Cap Core AlphaDEX Fund,S&P Small Cap 600,15.08,0.2225,0.155,0.2911,0.0,SML,11.78,31.379999999999995,0.6449
SLY,SPDR S&P 600 Small CapETF,S&P Small Cap 600,15.08,0.2225,0.155,0.2911,0.0,SML,11.78,31.379999999999995,0.6449
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,S&P Small Cap 600,15.08,0.2225,0.155,0.2911,0.0,SML,11.78,31.379999999999995,0.6449
VIOO,Vanguard S&P Small-Cap 600 ETF,S&P Small Cap 600,15.08,0.2225,0.155,0.2911,0.0,SML,11.78,31.379999999999995,0.6449
IJT,iShares S&P Small-Cap 600 Growth ETF,S&P Small Cap 600 Growth,22.26,0.199,0.126,0.271,0.0,SMLG,14.370000000000001,45.650000000000006,0.6296
SLYG,SPDR S&P 600 Small Cap Growth ETF,S&P Small Cap 600 Growth,22.26,0.199,0.126,0.271,0.0,SMLG,14.370000000000001,45.650000000000006,0.6296
VIOG,Vanguard S&P Small-Cap 600 Growth ETF,S&P Small Cap 600 Growth,22.26,0.199,0.126,0.271,0.0,SMLG,14.370000000000001,45.650000000000006,0.6296
IJS,iShares S&P Small-Cap 600 Value ETF,S&P Small Cap 600 Value,11.42,0.2409,0.1761,0.307,0.0,SMLV,10.09,26.299999999999997,0.7285
